City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
175,175,Alofi,NU,-19.06,-169.92,73.4,100,100,2.24,overcast clouds,0.0,0.0,Taloa Heights
178,178,Rio Grande,BR,-32.03,-52.1,77.0,57,40,11.41,scattered clouds,0.0,0.0,Hotel Atlântico Rio Grande
183,183,Port Elizabeth,ZA,-33.92,25.57,75.2,69,20,28.86,few clouds,0.0,0.0,39 On Nile Guest House
189,189,Ballina,AU,-28.87,153.57,73.4,78,90,9.17,overcast clouds,0.0,0.0,Ramada Hotel & Suites by Wyndham Ballina Byron
199,199,Nalut,LY,30.33,10.85,62.58,46,0,7.92,clear sky,0.0,0.0,
205,205,Kununurra,AU,-15.77,128.73,77.0,94,98,6.93,overcast clouds,0.0,0.0,Hotel Kununurra
207,207,Waipawa,NZ,-41.41,175.52,63.0,88,100,27.51,light rain,0.0,0.0,Tora Coastal Walk
209,209,Papetoai,PF,-17.5,-149.87,77.0,94,75,14.99,shower rain,0.0,0.0,Fare Vaihere
212,212,Mae Sai,TH,20.43,99.88,62.01,77,0,2.24,clear sky,0.0,0.0,Piyaporn Hill Paradise Hotel
214,214,Castro,BR,-24.79,-50.01,69.48,76,31,9.35,scattered clouds,0.0,0.0,CHACARA BAILLY
217,217,Chuy,UY,-33.7,-53.46,73.49,57,0,5.48,clear sky,0.0,0.0,Nuevo Hotel Plaza
218,218,Mumbwa,ZM,-14.98,27.06,77.88,76,94,3.96,moderate rain,0.0,0.0,Mumbwa Motel
222,222,Ahipara,NZ,-35.17,173.17,65.03,88,100,9.51,overcast clouds,0.0,0.0,Ahipara Holiday Park
226,226,Honiara,SB,-9.43,159.95,75.2,100,20,3.36,few clouds,0.0,0.0,Heritage Park Hotel
230,230,Sao Filipe,CV,14.9,-24.5,75.27,65,44,4.9,scattered clouds,0.0,0.0,Tortuga B&B
231,231,Jieshi,CN,22.81,115.83,63.0,95,100,1.01,overcast clouds,0.0,0.0,Yuehai Hotel
232,232,Pisco,PE,-13.7,-76.22,69.8,77,0,2.24,clear sky,0.0,0.0,Hotel San Isidro Oficial
236,236,Pangkalanbuun,ID,-2.68,111.62,76.48,92,100,1.68,light rain,0.0,0.0,Grand Kecubung Hotel
238,238,Sola,VU,-13.88,167.55,78.8,94,40,7.34,scattered clouds,0.0,0.0,Ulkel Guest House
244,244,Oranjemund,,-28.55,16.43,69.57,64,0,19.84,clear sky,0.0,0.0,The Fisherman's Cove
246,246,Geraldton,AU,-28.77,114.6,73.4,78,0,4.7,clear sky,0.0,0.0,Broadwater Mariner Resort
247,247,Oudtshoorn,ZA,-33.59,22.2,69.8,77,75,12.75,broken clouds,0.0,0.0,Earthbound Guest House
248,248,Mahebourg,MU,-20.41,57.7,78.8,88,40,14.99,shower rain,0.0,0.0,Shandrani Beachcomber Resort & Spa
249,249,Nago,JP,26.59,127.98,62.6,93,90,16.11,heavy intensity rain,0.0,0.0,Hotel Yugaf Inn Okinawa
250,250,Maldonado,UY,-34.67,-54.92,75.2,57,0,5.82,clear sky,0.0,0.0,La Cimarrona
255,255,Bitung,ID,1.45,125.18,77.0,94,40,8.05,moderate rain,0.0,0.0,Peoplesight Learning Center ( PLC )
260,260,Guasdualito,VE,7.24,-70.73,76.03,91,13,4.38,few clouds,0.0,0.0,Hotel Cuibas
263,263,Lethem,GY,3.38,-59.8,79.68,80,92,6.49,overcast clouds,0.0,0.0,Savannah Inn
271,271,Pokaran,IN,26.92,71.92,67.05,23,0,9.06,clear sky,0.0,0.0,Motel Pokaran - RTDC
275,275,Kruisfontein,ZA,-34.0,24.73,73.0,72,22,5.99,few clouds,0.0,0.0,Oyster Bay House Rental
282,282,Ratnagiri,IN,16.98,73.3,77.54,57,97,11.41,overcast clouds,0.0,0.0,Hotel Landmark
283,283,Cockburn Town,TC,21.46,-71.14,78.8,69,40,10.29,scattered clouds,0.0,0.0,Osprey Beach Hotel
288,288,Neiafu,TO,-18.65,-173.98,77.0,88,75,10.47,broken clouds,0.0,0.0,Mystic Sands
290,290,Veinte De Noviembre,MX,14.98,-92.25,69.8,100,5,2.24,clear sky,0.0,0.0,PANTEON CANTON EL CHAPARRON
299,299,Ancud,CL,-41.87,-73.82,62.01,82,75,11.41,light rain,0.0,0.0,Hotel Arena Gruesa
303,303,Kiunga,PG,-6.12,141.29,73.26,97,96,1.12,moderate rain,0.0,0.0,Airport Lodge Kiunga
306,306,Buraydah,SA,26.33,43.98,78.8,47,75,5.82,broken clouds,0.0,0.0,Mövenpick Hotel Qassim
307,307,Santa Vitoria Do Palmar,BR,-33.52,-53.37,73.18,58,0,5.08,clear sky,0.0,0.0,Hostel Comodoro
310,310,Bagotville,AU,-28.98,153.42,73.4,78,90,9.17,overcast clouds,0.0,0.0,Broadwater Sunrise Caravan Park
312,312,Benjamin Constant,BR,-4.38,-70.03,77.0,88,75,4.7,broken clouds,0.0,0.0,CASA AVALIADA
317,317,Xiamen,CN,24.48,118.08,62.6,93,90,2.24,light rain,0.0,0.0,厦门马哥孛罗东方大酒店
325,325,Kahului,US,20.89,-156.47,66.99,82,1,4.18,clear sky,0.0,0.0,Maui Seaside Hotel
328,328,Mahon,ES,39.89,4.27,60.8,82,40,10.29,scattered clouds,0.0,0.0,ARTIEM Capri
334,334,Tarakan,ID,3.3,117.63,78.66,83,100,2.24,overcast clouds,0.0,0.0,RedDoorz Syariah near Taman Berlabuh Tarakan
336,336,Parrita,CR,9.52,-84.32,73.4,73,40,8.05,scattered clouds,0.0,0.0,Beso del Viento
337,337,Cidreira,BR,-30.18,-50.21,73.76,61,0,9.46,clear sky,0.0,0.0,Hotel Castelo
338,338,Anzio,IT,41.49,12.62,60.01,83,100,3.0,overcast clouds,0.0,0.0,Hotel Lido Garda
339,339,Beruwala,LK,6.48,79.98,79.09,80,100,5.66,light rain,0.0,0.0,The Palms Hotel
341,341,Kupang,ID,-10.17,123.58,77.0,88,20,3.36,few clouds,0.0,0.0,Sylvia Hotel Premier Kupang
347,347,Qui Nhon,VN,13.77,109.23,72.95,86,90,12.48,overcast clouds,0.0,0.0,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
348,348,Nishihara,JP,26.18,127.76,64.4,93,75,14.99,moderate rain,0.0,0.0,Minshuku Agaihama
351,351,Constitucion,CL,-35.33,-72.42,65.19,52,0,8.48,clear sky,0.0,0.0,Hotel Boutique Las Azucenas
355,355,Vence,FR,43.72,7.11,60.8,77,75,10.29,broken clouds,0.0,0.0,Hôtel La Victoire
356,356,Ormara,PK,25.21,64.64,72.93,39,0,7.54,clear sky,0.0,0.0,
360,360,Pocone,BR,-16.26,-56.62,77.05,87,100,4.38,moderate rain,0.0,0.0,Hotel e Churrascaria Pantaneira
367,367,Allapalli,IN,19.42,80.07,65.8,42,0,2.68,clear sky,0.0,0.0,Hotel IK Residency
370,370,Adrar,MR,20.5,-10.07,71.51,24,0,17.07,clear sky,0.0,0.0,
378,378,Riyadh,SA,24.69,46.72,75.2,31,0,4.7,clear sky,0.0,0.0,InterContinental Riyadh
381,381,Coahuayana,MX,18.73,-103.68,69.8,64,75,4.07,broken clouds,0.0,0.0,Hotel Los Arcos
383,383,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,88,90,9.17,overcast clouds,0.0,0.0,Pousada Porto De Canoas
384,384,Los Llanos De Aridane,ES,28.66,-17.92,73.4,49,20,13.87,few clouds,0.0,0.0,Valle Aridane
385,385,Nelson Bay,AU,-32.72,152.15,63.0,93,100,5.57,overcast clouds,0.0,0.0,Mantra Nelson Bay
386,386,Campohermoso,ES,36.94,-2.13,62.6,77,20,9.17,few clouds,0.0,0.0,Hotel Balisa
389,389,Port Blair,IN,11.67,92.75,78.35,74,100,11.61,overcast clouds,0.0,0.0,Welcomhotel Bay Island Port Blair
