City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ushuaia,AR,2020-12-20 15:36:45,-54.8,-68.3,62.6,45,75,17.22
70,Codrington,AU,2020-12-20 15:36:45,-38.27,141.97,46.92,92,0,10.0
71,Meulaboh,ID,2020-12-20 15:36:45,4.14,96.13,78.13,85,100,1.9
72,Namibe,AO,2020-12-20 15:36:32,-15.2,12.15,75.2,73,75,12.75
73,Cape Town,ZA,2020-12-20 15:36:46,-33.93,18.42,78.8,57,20,16.11
74,Cabo San Lucas,MX,2020-12-20 15:35:50,22.89,-109.91,59.0,87,40,9.17
75,Umm Lajj,SA,2020-12-20 15:36:46,25.02,37.27,75.94,60,0,4.79
76,Lashio,MM,2020-12-20 15:36:46,22.93,97.75,54.18,89,60,1.7
77,Karatau,KZ,2020-12-20 15:36:46,43.17,70.47,22.68,94,66,3.22
78,Kalaikunda,IN,2020-12-20 15:36:46,22.35,87.25,60.87,32,87,5.32
79,Fortuna,US,2020-12-20 15:36:46,40.6,-124.16,53.01,100,90,9.17
80,Kavieng,PG,2020-12-20 15:36:46,-2.57,150.8,83.44,73,97,6.24
81,Kaoma,ZM,2020-12-20 15:36:47,-14.78,24.8,74.14,81,97,1.61
82,Kruisfontein,ZA,2020-12-20 15:36:47,-34.0,24.73,73.99,77,24,5.01
83,Xihe,CN,2020-12-20 15:36:47,31.69,113.47,38.35,68,1,1.61
84,Salcioara,RO,2020-12-20 15:36:47,44.72,25.58,39.99,100,90,4.7
85,Urumqi,CN,2020-12-20 15:36:47,43.8,87.6,-0.4,84,22,10.07
86,Berlevag,NO,2020-12-20 15:36:47,70.86,29.09,26.6,92,90,19.46
87,Kaitangata,NZ,2020-12-20 15:36:47,-46.28,169.85,54.0,88,99,15.01
88,Leningradskiy,RU,2020-12-20 15:36:48,69.38,178.42,-1.08,90,100,9.78
89,Lagoa,PT,2020-12-20 15:36:49,39.05,-27.98,63.9,83,100,27.34
90,Banda Aceh,ID,2020-12-20 15:32:21,5.56,95.32,78.6,82,99,10.4
91,Qandala,SO,2020-12-20 15:36:50,11.47,49.87,76.64,73,51,9.46
92,Osa,RU,2020-12-20 15:36:50,57.28,55.46,1.4,91,68,9.8
93,Hilo,US,2020-12-20 15:36:50,19.73,-155.09,69.8,88,75,1.41
94,Olinda,BR,2020-12-20 15:36:50,-8.01,-34.86,82.4,65,75,10.29
95,Arona,ES,2020-12-20 15:36:51,28.1,-16.68,73.0,64,40,14.99
96,Vardo,NO,2020-12-20 15:36:51,70.37,31.11,26.6,92,75,17.22
97,Van,TR,2020-12-20 15:36:51,38.49,43.38,30.2,74,20,3.36
98,Mahibadhoo,MV,2020-12-20 15:36:51,3.78,72.97,82.17,80,100,17.83
99,Saint George,US,2020-12-20 15:36:51,37.1,-113.58,26.6,63,1,1.88
100,Henties Bay,NA,2020-12-20 15:36:51,-22.12,14.28,64.99,86,69,3.0
101,Bocas Del Toro,PA,2020-12-20 15:36:51,9.33,-82.25,73.0,46,38,5.01
102,Halvad,IN,2020-12-20 15:36:52,23.02,71.18,63.79,34,98,4.0
103,Porto Santo,PT,2020-12-20 15:36:52,33.07,-16.34,66.2,72,40,2.24
104,Bredasdorp,ZA,2020-12-20 15:36:52,-34.53,20.04,75.2,57,8,18.34
105,Bengkulu,ID,2020-12-20 15:36:52,-3.8,102.27,75.42,87,99,4.68
106,Qaanaaq,GL,2020-12-20 15:36:52,77.48,-69.36,-1.7,76,62,5.93
107,Mkuranga,TZ,2020-12-20 15:36:52,-7.12,39.21,87.8,62,20,13.87
108,Dergachi,RU,2020-12-20 15:36:52,51.23,48.77,6.85,93,100,7.96
