City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
532,Tarancon,ES,40.01,-3.01,46.4,100,90,3.36,overcast clouds,0.0,0.0
533,Jumla,NP,29.27,82.18,39.69,57,0,5.28,clear sky,0.0,0.0
534,Aswan,EG,24.09,32.91,81.88,16,3,9.17,clear sky,0.0,0.0
535,Nantucket,US,41.28,-70.1,37.4,59,1,12.75,clear sky,0.0,0.0
536,Pasan,IN,22.85,82.2,59.85,36,0,0.83,clear sky,0.0,0.0
537,Mabay,PH,6.06,124.47,78.78,80,48,4.52,light rain,0.0,0.0
538,Rebrikha,RU,53.07,82.34,14.59,95,100,23.64,light snow,0.56,0.0
539,Oyama,JP,36.3,139.8,53.01,74,75,4.7,broken clouds,0.0,0.4
540,Batouri,CM,4.43,14.37,100.76,15,0,3.04,clear sky,0.0,0.0
541,Nouadhibou,MR,20.93,-17.03,73.4,43,0,11.41,dust,0.0,0.0
542,Chumikan,RU,54.72,135.31,-14.35,83,0,15.86,clear sky,0.0,0.0
543,Cooma,AU,-36.23,149.13,57.2,87,90,3.36,overcast clouds,0.0,0.0
544,Colac,AU,-38.33,143.58,52.0,97,38,4.14,scattered clouds,0.0,0.0
545,Tomatlan,MX,19.93,-105.25,65.77,53,100,3.13,overcast clouds,0.0,0.0
546,Ortakoy,TR,38.74,34.04,37.4,51,40,6.93,scattered clouds,0.0,0.0
547,Beidao,CN,34.57,105.89,27.0,35,1,5.99,clear sky,0.0,0.0
548,Minsk,BY,53.9,27.57,32.0,98,90,6.71,snow,0.0,0.0
549,Batemans Bay,AU,-35.72,150.18,62.01,89,99,3.15,overcast clouds,0.0,0.0
550,Concepcion Del Oro,MX,24.63,-101.42,41.2,63,0,2.15,clear sky,0.0,0.0
551,Buena Vista,US,43.42,-83.9,37.4,69,1,16.11,clear sky,0.0,0.0
552,Srednekolymsk,RU,67.45,153.68,-19.05,88,100,9.78,overcast clouds,0.0,0.0
553,Mayo,US,38.89,-76.51,33.8,83,1,0.63,clear sky,0.0,0.0
554,Jizan,SA,17.33,42.67,86.0,66,40,9.17,scattered clouds,0.0,0.0
555,Suzhou,CN,31.31,120.62,46.99,70,100,6.17,overcast clouds,0.0,0.0
556,Saint-Francois,FR,46.42,3.91,57.2,67,90,8.05,overcast clouds,0.0,0.0
557,Pringsewu,ID,-5.36,104.97,77.4,85,82,5.55,broken clouds,0.0,0.0
558,Neath,GB,51.66,-3.8,54.0,93,98,16.11,moderate rain,0.0,0.0
559,Illapel,CL,-31.63,-71.17,67.73,56,34,5.73,scattered clouds,0.0,0.0
560,Ixtapa,MX,20.7,-105.2,59.0,93,5,3.36,clear sky,0.0,0.0
561,Yar-Sale,RU,66.83,70.83,-28.57,86,100,3.44,overcast clouds,0.0,0.0
562,Ostersund,SE,63.18,14.64,32.0,100,100,6.93,light snow,0.0,0.0
563,Aklavik,CA,68.22,-135.01,-5.8,76,100,5.82,overcast clouds,0.0,0.12
564,Pochutla,MX,15.74,-96.47,71.6,73,5,2.55,clear sky,0.0,0.0
565,Makakilo City,US,21.35,-158.09,69.8,88,1,3.36,clear sky,0.0,0.0
566,Zandvoort,NL,52.37,4.53,53.01,100,75,6.93,broken clouds,0.0,0.0
567,Magadi,IN,12.97,77.23,77.0,69,75,5.82,broken clouds,0.0,0.0
568,Hazleton,US,40.96,-75.97,28.4,74,1,1.01,clear sky,0.0,0.0
569,Talcahuano,CL,-36.72,-73.12,62.6,67,0,13.87,clear sky,0.0,0.0
